run,scheme,key_id,length,n,exceed,fpr,ci_lo,ci_hi,mean_z,sd_z
smollm2_n10000,kgw,kgw-07,256,10000,3302,0.3302,0.32098312686348457,0.3395158551168721,1.721308017090636,1.4019873052621998
smollm2_n10000,kgw,kgw-07,512,10000,4836,0.4836,0.473761430252223,0.4934481258421398,2.240980981396136,1.5760177808932365
smollm2_n10000,kgw,kgw-08,128,10000,728,0.0728,0.06778282485178633,0.07806763348070009,0.488296505473402,1.2454633021156096
smollm2_n10000,kgw,kgw-08,256,10000,965,0.0965,0.09078081689628888,0.10245538497039477,0.6369279079067275,1.350345143352429
smollm2_n10000,kgw,kgw-08,512,10000,1274,0.1274,0.1209242704864291,0.13409356281469614,0.7613971552905964,1.4753886381341563
smollm2_n10000,kgw,kgw-09,128,10000,644,0.0644,0.059666391605463935,0.06938918119951214,0.4484669634557058,1.2215927785715055
smollm2_n10000,kgw,kgw-09,256,10000,930,0.093,0.0873767546028659,0.09886154069290688,0.5955678431719332,1.3184608639060196
smollm2_n10000,kgw,kgw-09,512,10000,1366,0.1366,0.12992553856856778,0.14348685445365095,0.7952150179735052,1.4381954254593774
smollm2_n10000,synthid,synthid-00,128,10000,109,0.0109,0.008958341243580702,0.013133832674741568,-0.011893794513080303,1.0237098209414703
smollm2_n10000,synthid,synthid-00,256,10000,127,0.0127,0.010598113900132319,0.015092335911379796,-0.012618055800752648,1.0341248429166565
smollm2_n10000,synthid,synthid-00,512,10000,107,0.0107,0.008776963654957377,0.01291541203245391,-0.020299199656316987,1.0198290954936853
smollm2_n10000,synthid,synthid-01,128,10000,91,0.0091,0.007332899928267724,0.011161186529761898,0.0028236484028073437,0.9950386129873524
smollm2_n10000,synthid,synthid-01,256,10000,76,0.0076,0.00599247384747138,0.009503425850715317,0.007815256550396816,0.9931100380765557
smollm2_n10000,synthid,synthid-01,512,10000,106,0.0106,0.008686342174122614,0.012806135286500818,-0.003758374497369039,1.0019572022788148
smollm2_n10000,synthid,synthid-02,128,10000,100,0.01,0.008143596567611065,0.012149504886061608,0.016638261543512507,0.9874957880252557
smollm2_n10000,synthid,synthid-02,256,10000,89,0.0089,0.007153353472805017,0.010940961099560961,0.0055112407886360355,0.9852697200186973
smollm2_n10000,synthid,synthid-02,512,10000,90,0.009,0.007243097544042816,0.011051102513738831,-5.4099528438954716e-05,0.9770041464565936
smollm2_n10000,synthid,synthid-03,128,10000,158,0.0158,0.013447705164136913,0.01844005562609864,0.007023718801621237,1.0639175653169564
smollm2_n10000,synthid,synthid-03,256,10000,133,0.0133,0.011147352650297418,0.01574255315697215,-0.01966130223846153,1.057994158240858
smollm2_n10000,synthid,synthid-03,512,10000,125,0.0125,0.010415309768416191,0.014875324428287305,-0.019443448791550254,1.0495576239695588
smollm2_n10000,synthid,synthid-04,128,10000,143,0.0143,0.01206532678849285,0.016823699642866258,-0.006403127022263037,1.073430963238298
smollm2_n10000,synthid,synthid-04,256,10000,143,0.0143,0.01206532678849285,0.016823699642866258,-0.023374003152953775,1.068645043533175
smollm2_n10000,synthid,synthid-04,512,10000,134,0.0134,0.011239008887585427,0.01585080751264414,-0.035727992952927265,1.072894542026182
