key_id,length,p_k,p_lo,p_hi,T_mean,mean_z,pred_mean_z,sd_z,fpr,pred_fpr_bias_only,pred_fpr_bias_and_sd
kgw-00,128,0.2656549889805251,0.26484380788163386,0.26646736250600217,113.8439,0.38696189676875176,0.38575095755900213,1.2319545531193439,0.0623,0.026153594205287845,0.057603073509952085
kgw-00,256,0.2652538552400469,0.2646588252020071,0.26584952842282683,211.3941,0.5165550393226833,0.5121833018789231,1.3581430338129892,0.0887,0.034826196349308725,0.09081248929099983
kgw-00,512,0.2651241088223555,0.26466994618383693,0.26557864638736095,362.7784,0.6719562393290586,0.6652576358098385,1.4979962318699709,0.1249,0.04834766235809751,0.13374210303989242
kgw-01,128,0.22793140431766656,0.22716106820688142,0.22870312485790179,113.8439,-0.5414352807721333,-0.5437871548190031,1.1011574081030606,0.0075,0.0020514827361102217,0.004574026347165194
kgw-01,256,0.2276444801439586,0.22707936921316835,0.22821033728038911,211.3941,-0.7432843591181195,-0.7506380383777589,1.177949683696092,0.007,0.0010455259151810337,0.004498686472380498
kgw-01,512,0.2272555367133214,0.2268243930449433,0.22768711576617662,362.7784,-0.9830053844511998,-1.0004508729462396,1.2820367094486003,0.008,0.0004392489778167752,0.004730474615139757
kgw-02,128,0.2304040884052637,0.22963081910637465,0.23117872954735105,113.8439,-0.4817034508619337,-0.4828583189240636,1.1396629416090585,0.0099,0.0024831913595347865,0.006851718857854072
kgw-02,256,0.22989194116581305,0.22932487080912012,0.23045975156908333,211.3941,-0.6674181631995594,-0.67517436123498,1.225796469359424,0.0119,0.0013431670990350364,0.0071700298854762146
kgw-02,512,0.2293617811865315,0.22892923292433268,0.22979476147039518,362.7784,-0.8849056066906796,-0.907804407945001,1.3403035761320556,0.0128,0.0006100219198945656,0.007910913788778506
kgw-03,128,0.20649766917682896,0.20575440212937565,0.20724242976094648,113.8439,-1.0699618574492449,-1.0719308580774143,1.070511099466014,0.0032,0.0003390564623426684,0.0007506163915040887
kgw-03,256,0.20577632015273842,0.20523151920563235,0.20632192723699494,211.3941,-1.4797088467481982,-1.484911847461401,1.1437874792481475,0.0026,6.913020324439412e-05,0.00043090484306052
kgw-03,512,0.20495321661929156,0.20453792911952068,0.20536897511253627,362.7784,-1.9615477395353111,-1.9814533844395297,1.2612993508636392,0.0027,8.244271763935274e-06,0.0003184796361939135
kgw-04,128,0.21831911942581025,0.2175605511829505,0.21907912102728047,113.8439,-0.7806192458087351,-0.7806412405022454,1.1231265259377836,0.0066,0.0009450167906638329,0.002834165776100628
kgw-04,256,0.21789207929644205,0.2173357415791521,0.2184491899459669,211.3941,-1.074234124218971,-1.0780973454658518,1.233792552793429,0.008,0.00033149298373835734,0.0028959689706546943
kgw-04,512,0.21831481697918068,0.21788981013783726,0.21874027347988795,362.7784,-1.37821330395166,-1.3937224463417615,1.3859795546992384,0.0088,9.958365806672642e-05,0.0036365610310686858
kgw-05,128,0.26075617578104754,0.2599498460016237,0.26156372291911206,113.8439,0.2569700233325952,0.2650404361429877,1.2532244095464438,0.048,0.019636859535486884,0.05000520771811223
kgw-05,256,0.2604547619824773,0.2598632238956589,0.2610469563643661,211.3941,0.3287816668677062,0.35104269892933593,1.378998267250579,0.0717,0.02411676315677813,0.0760117795890981
kgw-05,512,0.2607109464069526,0.2602592330613156,0.2611630417245068,362.7784,0.4214443340286405,0.4711377686890646,1.5466911285966338,0.1019,0.03178311459396854,0.11517255908142887
kgw-06,128,0.24803261307808325,0.24723949799926934,0.24882701027297827,113.8439,-0.056869455627398716,-0.04847792546916185,1.146849564457278,0.0218,0.008778617029244207,0.01919160983059165
kgw-06,256,0.24818809985709156,0.24760590863329862,0.24877098098944414,211.3941,-0.07668249047020606,-0.06083871803328349,1.2351070366492403,0.0278,0.008488935891942773,0.026631831488174496
kgw-06,512,0.24910027719401154,0.24865529317510762,0.2495456617211568,362.7784,-0.06677036077473224,-0.03957571806884542,1.3545460130356088,0.0369,0.008992577903132348,0.04034866271555271
kgw-07,128,0.30104818967024144,0.30020563147147095,0.3018917601760559,113.8439,1.2498968909117798,1.2578666182036946,1.2709661810815325,0.1908,0.14265174056687724,0.2002624220114526
kgw-07,256,0.30186272937608005,0.30124392680810014,0.30248207477882405,211.3941,1.721308017090636,1.7414105193915566,1.4019873052621998,0.3302,0.2792949200932071,0.3382586937331825
kgw-07,512,0.30199069183832333,0.30151826337411797,0.30246343637490536,362.7784,2.240980981396136,2.2868920835425532,1.5760177808932365,0.4836,0.4842635000601768,0.49001347628936875
kgw-08,128,0.26938729259977917,0.2685725013531718,0.2702032572780247,113.8439,0.488296505473402,0.47771778658834474,1.2454633021156096,0.0728,0.03225562254420955,0.06886585597077399
kgw-08,256,0.26848242216788454,0.26788509379413267,0.26908038483963354,211.3941,0.6369279079067275,0.6205898681806421,1.350345143352429,0.0965,0.04402657240157615,0.10325838759340455
kgw-08,512,0.2669456064638909,0.2664904499388052,0.2674011350075279,362.7784,0.7613971552905964,0.745379065037451,1.4753886381341563,0.1274,0.05694258483415837,0.14195864675843128
kgw-09,128,0.2679801025790578,0.26716666380962356,0.26879472194176374,113.8439,0.4484669634557058,0.4430435432122542,1.2215927785715055,0.0644,0.029829568427363617,0.061575769188964125
kgw-09,256,0.2673906225386612,0.2667940668499513,0.2679878155170482,211.3941,0.5955678431719332,0.5839301824627856,1.3184608639060196,0.093,0.04071769121297941,0.09315829631713979
kgw-09,512,0.26772735091174116,0.2672717708613843,0.26818330173262855,362.7784,0.7952150179735052,0.7797653200752085,1.4381954254593774,0.1366,0.060981969627209365,0.1411060569176139
