key_id,length,n_watermarked,threshold_nominal,threshold_calibrated,threshold_shift,tpr_nominal,tpr_nominal_lo,tpr_nominal_hi,tpr_calibrated,tpr_calibrated_lo,tpr_calibrated_hi,tpr_change,fpr_nominal,fpr_calibrated
kgw-00,128,50,2.3263478740408408,3.863569705382231,1.5372218313413901,1.0,0.9288782635358024,1.0,0.92,0.8076572164040372,0.9777720363450703,-0.08,0.0623,0.0054
kgw-00,256,50,2.3263478740408408,4.358471705221241,2.0321238311804004,1.0,0.9288782635358024,1.0,1.0,0.9288782635358024,1.0,0.0,0.0887,0.0054
kgw-00,512,50,2.3263478740408408,5.020809057521032,2.6944611834801915,1.0,0.9288782635358024,1.0,1.0,0.9288782635358024,1.0,0.0,0.1249,0.0052
kgw-01,128,50,2.3263478740408408,2.4270695636233146,0.10072168958247385,0.92,0.8076572164040372,0.9777720363450703,0.9,0.7818646335657977,0.9667249064109775,-0.02,0.0075,0.0056
kgw-01,256,50,2.3263478740408408,2.646896410149178,0.32054853610833733,0.94,0.8345180533962271,0.9874514121646659,0.94,0.8345180533962271,0.9874514121646659,0.0,0.007,0.0034
kgw-01,512,50,2.3263478740408408,2.710687382741972,0.3843395087011312,1.0,0.9288782635358024,1.0,1.0,0.9288782635358024,1.0,0.0,0.008,0.0038
kgw-02,128,50,2.3263478740408408,2.7406406388125952,0.4142927647717545,0.98,0.8935304542885001,0.9994937720169592,0.94,0.8345180533962271,0.9874514121646659,-0.04,0.0099,0.0028
kgw-02,256,50,2.3263478740408408,3.064523510731495,0.7381756366906544,1.0,0.9288782635358024,1.0,0.98,0.8935304542885001,0.9994937720169592,-0.02,0.0119,0.0034
kgw-02,512,50,2.3263478740408408,3.0631648214557856,0.7368169474149449,1.0,0.9288782635358024,1.0,1.0,0.9288782635358024,1.0,0.0,0.0128,0.0048
kgw-03,128,50,2.3263478740408408,1.9261430632928083,-0.4002048107480325,0.78,0.6403881114342106,0.8847341739621514,0.86,0.7326039975029917,0.9418082996596279,0.08,0.0032,0.0064
kgw-03,256,50,2.3263478740408408,1.7457431218879391,-0.5806047521529016,0.92,0.8076572164040372,0.9777720363450703,0.98,0.8935304542885001,0.9994937720169592,0.06,0.0026,0.0068
kgw-03,512,50,2.3263478740408408,1.4927035850663304,-0.8336442889745104,0.96,0.8628623743960326,0.9951185665738356,0.98,0.8935304542885001,0.9994937720169592,0.02,0.0027,0.0096
kgw-04,128,50,2.3263478740408408,2.4444444444444446,0.11809657040360388,0.9,0.7818646335657977,0.9667249064109775,0.88,0.7568986832944374,0.9546646792263361,-0.02,0.0066,0.0048
kgw-04,256,50,2.3263478740408408,2.5404051914183623,0.21405731737752154,0.96,0.8628623743960326,0.9951185665738356,0.94,0.8345180533962271,0.9874514121646659,-0.02,0.008,0.007
kgw-04,512,50,2.3263478740408408,3.2515115014443907,0.92516362740355,0.98,0.8935304542885001,0.9994937720169592,0.94,0.8345180533962271,0.9874514121646659,-0.04,0.0088,0.0024
kgw-05,128,50,2.3263478740408408,3.6977208059257327,1.371372931884892,0.94,0.8345180533962271,0.9874514121646659,0.88,0.7568986832944374,0.9546646792263361,-0.06,0.048,0.0068
kgw-05,256,50,2.3263478740408408,4.143466764882176,1.8171188908413356,0.96,0.8628623743960326,0.9951185665738356,0.96,0.8628623743960326,0.9951185665738356,0.0,0.0717,0.0068
kgw-05,512,50,2.3263478740408408,4.865804798594798,2.5394569245539573,0.98,0.8935304542885001,0.9994937720169592,0.96,0.8628623743960326,0.9951185665738356,-0.02,0.1019,0.0068
kgw-06,128,50,2.3263478740408408,2.9673014758835152,0.6409536018426745,0.96,0.8628623743960326,0.9951185665738356,0.88,0.7568986832944374,0.9546646792263361,-0.08,0.0218,0.0064
kgw-06,256,50,2.3263478740408408,3.0995189213585466,0.7731710473177058,1.0,0.9288782635358024,1.0,0.96,0.8628623743960326,0.9951185665738356,-0.04,0.0278,0.0074
kgw-06,512,50,2.3263478740408408,3.315802571615686,0.9894546975748453,1.0,0.9288782635358024,1.0,1.0,0.9288782635358024,1.0,0.0,0.0369,0.0078
kgw-07,128,50,2.3263478740408408,4.8488257455915145,2.5224778715506737,0.96,0.8628623743960326,0.9951185665738356,0.86,0.7326039975029917,0.9418082996596279,-0.1,0.1908,0.0046
kgw-07,256,50,2.3263478740408408,5.661385170722979,3.335037296682138,0.98,0.8935304542885001,0.9994937720169592,0.94,0.8345180533962271,0.9874514121646659,-0.04,0.3302,0.0032
kgw-07,512,50,2.3263478740408408,6.396731643659333,4.070383769618492,0.98,0.8935304542885001,0.9994937720169592,0.96,0.8628623743960326,0.9951185665738356,-0.02,0.4836,0.0054
kgw-08,128,50,2.3263478740408408,4.314554973040049,1.988207098999208,0.96,0.8628623743960326,0.9951185665738356,0.76,0.6183092518959619,0.8693900838025427,-0.2,0.0728,0.0054
kgw-08,256,50,2.3263478740408408,4.933262475450236,2.606914601409395,1.0,0.9288782635358024,1.0,0.9,0.7818646335657977,0.9667249064109775,-0.1,0.0965,0.006
kgw-08,512,50,2.3263478740408408,5.615927500082481,3.2895796260416406,1.0,0.9288782635358024,1.0,0.92,0.8076572164040372,0.9777720363450703,-0.08,0.1274,0.0048
kgw-09,128,50,2.3263478740408408,3.7777777777777777,1.451429903736937,0.98,0.8935304542885001,0.9994937720169592,0.9,0.7818646335657977,0.9667249064109775,-0.08,0.0644,0.0058
kgw-09,256,50,2.3263478740408408,4.2699324622671995,1.9435845882263587,0.98,0.8935304542885001,0.9994937720169592,0.94,0.8345180533962271,0.9874514121646659,-0.04,0.093,0.0062
kgw-09,512,50,2.3263478740408408,4.796192573642472,2.469844699601631,0.98,0.8935304542885001,0.9994937720169592,0.94,0.8345180533962271,0.9874514121646659,-0.04,0.1366,0.006
