key_id,length,value
kgw-00,128,6.145133575982435
kgw-00,128,8.13539015676291
kgw-00,128,6.110100926607787
kgw-00,128,8.210724693959724
kgw-00,128,7.797606470364266
kgw-00,128,5.3921488125982115
kgw-00,128,6.795208855361117
kgw-00,128,3.7729688731351945
kgw-00,128,7.58946638440411
kgw-00,128,5.852184379828089
kgw-00,128,6.455825737302179
kgw-00,128,6.090776713655637
kgw-00,128,5.63383643659898
kgw-00,128,7.1319351262463435
kgw-00,128,2.6336286754210434
kgw-00,128,6.428345401070889
kgw-00,128,5.94418483337567
kgw-00,128,6.149210143435322
kgw-00,128,6.5861255059653905
kgw-00,128,8.444444444444445
kgw-00,128,4.005551702879947
kgw-00,128,7.111111111111111
kgw-00,128,5.628510875900897
kgw-00,128,8.417283805757453
kgw-00,128,5.257849983583071
kgw-00,128,7.84627953644927
kgw-00,128,7.081162132224989
kgw-00,128,5.973163205427982
kgw-00,128,4.81111099340118
kgw-00,128,5.868362732434004
kgw-00,128,6.377042156569663
kgw-00,128,6.351692687780163
kgw-00,128,6.776902458085621
kgw-00,128,3.6518672557722454
kgw-00,128,7.340166808764486
kgw-00,128,4.368709982513715
kgw-00,128,4.07712531321667
kgw-00,128,2.759069793365374
kgw-00,128,6.923703443728202
kgw-00,128,6.014319829436467
kgw-00,128,6.351692687780163
kgw-00,128,8.001811389132238
kgw-00,128,6.221710168382551
kgw-00,128,4.1957027502705015
kgw-00,128,4.216370213557839
kgw-00,128,6.090776713655637
kgw-00,128,7.306770072260992
kgw-00,128,5.938574464184706
kgw-00,128,7.177929134971079
kgw-00,128,7.004292204756843
kgw-00,256,6.352097575605493
kgw-00,256,10.617284338602161
kgw-00,256,7.453559924999299
kgw-00,256,10.118650936473378
kgw-00,256,10.250161379098767
kgw-00,256,8.14680123547705
kgw-00,256,8.084658442238583
kgw-00,256,5.012402917417549
kgw-00,256,11.737939375342709
kgw-00,256,9.020010365963913
kgw-00,256,6.92820323027551
kgw-00,256,7.175508532871661
kgw-00,256,7.872318332685893
kgw-00,256,9.000309928027916
kgw-00,256,6.352097575605493
kgw-00,256,7.120275558034701
kgw-00,256,7.280671669502767
kgw-00,256,6.149210143435322
kgw-00,256,7.332355751067665
kgw-00,256,10.118894877553425
kgw-00,256,5.763232592999441
kgw-00,256,10.198131360164535
kgw-00,256,7.0250996378783395
kgw-00,256,11.549225748274877
kgw-00,256,7.126550920784472
kgw-00,256,10.778099772957281
kgw-00,256,7.606388292556649
kgw-00,256,9.493691904626534
kgw-00,256,6.442528450810767
kgw-00,256,8.30992145092527
kgw-00,256,8.485281374238571
kgw-00,256,7.5296471362843995
kgw-00,256,7.772273779298728
kgw-00,256,4.93260816467648
kgw-00,256,10.233321416269114
kgw-00,256,5.793404518208806
kgw-00,256,5.963936834721053
kgw-00,256,4.88448114218581
kgw-00,256,10.735362127101256
kgw-00,256,8.14680123547705
kgw-00,256,9.40110441189613
kgw-00,256,8.001811389132238
kgw-00,256,7.268800519542946
kgw-00,256,5.174529696093895
kgw-00,256,7.304488726499312
kgw-00,256,8.795200711499172
kgw-00,256,7.536922104227614
kgw-00,256,7.814175153740369
kgw-00,256,11.444444444444445
kgw-00,256,7.453559924999299
kgw-00,512,8.502833318499821
kgw-00,512,12.107127430207736
kgw-00,512,11.016836368939403
kgw-00,512,14.926726864516962
kgw-00,512,11.648890725414214
kgw-00,512,11.670589816571683
kgw-00,512,10.502100630210073
kgw-00,512,5.960395606792697
kgw-00,512,16.3153737052485
kgw-00,512,11.739360230283088
kgw-00,512,8.243761032416938
kgw-00,512,7.740659417593445
kgw-00,512,11.899889389204088
kgw-00,512,12.274497243142468
kgw-00,512,8.229511997978236
kgw-00,512,9.389096669453552
kgw-00,512,6.692015300570433
kgw-00,512,6.149210143435322
kgw-00,512,8.327041650040513
kgw-00,512,10.251568182759227
kgw-00,512,6.016253072128877
kgw-00,512,11.929618161269211
kgw-00,512,8.423626767770834
kgw-00,512,17.535891979238112
kgw-00,512,10.167678819347238
kgw-00,512,13.48714816911151
kgw-00,512,10.666105158702758
kgw-00,512,13.566800462202764
kgw-00,512,10.318062930358412
kgw-00,512,8.218620487275484
kgw-00,512,9.008300440765238
kgw-00,512,8.485897298557912
kgw-00,512,7.6681158050723255
kgw-00,512,7.015720845576087
kgw-00,512,11.977832377707934
kgw-00,512,5.793404518208806
kgw-00,512,7.3437604542947135
kgw-00,512,9.436321531076338
kgw-00,512,13.259065461087687
kgw-00,512,10.199122723668403
kgw-00,512,14.55793025582048
kgw-00,512,8.001811389132238
kgw-00,512,10.341388641612394
kgw-00,512,5.174529696093895
kgw-00,512,11.672064899738603
kgw-00,512,12.106225743574502
kgw-00,512,7.320806164525238
kgw-00,512,10.486921732622987
kgw-00,512,15.434872662825796
kgw-00,512,9.07884159784155
kgw-01,128,5.184758473652126
kgw-01,128,6.680442993100892
kgw-01,128,5.133784403042142
kgw-01,128,4.079542458005146
kgw-01,128,2.6336286754210434
kgw-01,128,2.7756805500135044
kgw-01,128,3.872983346207417
kgw-01,128,2.1469577567869402
kgw-01,128,5.3921488125982115
kgw-01,128,3.6664242344096882
kgw-01,128,5.870707066887384
kgw-01,128,6.715471761210061
kgw-01,128,4.185110693297313
kgw-01,128,2.8867513459481287
kgw-01,128,4.07402763238362
kgw-01,128,2.246786159839883
kgw-01,128,4.849742261192856
kgw-01,128,4.076197322920544
kgw-01,128,7.295607947032544
kgw-01,128,7.080310846831777
kgw-01,128,4.77626131784145
kgw-01,128,5.9491307653089205
kgw-01,128,4.216370213557839
kgw-01,128,5.882545031137496
kgw-01,128,2.4270695636233146
kgw-01,128,1.8073922282301278
kgw-01,128,5.3921488125982115
kgw-01,128,3.207705923144653
kgw-01,128,1.2491885271652075
kgw-01,128,4.566315765408858
kgw-01,128,3.733026101029531
kgw-01,128,3.4641016151377544
kgw-01,128,4.28479604230855
kgw-01,128,3.5165880032459027
kgw-01,128,4.905778905196062
kgw-01,128,6.971370023173351
kgw-01,128,5.525456240589248
kgw-01,128,4.710379503822172
kgw-01,128,6.0553007081949835
kgw-01,128,4.005551702879947
kgw-01,128,6.764810911375622
kgw-01,128,5.973241301880029
kgw-01,128,4.286101569802875
kgw-01,128,6.324555320336758
kgw-01,128,3.5919965234379396
kgw-01,128,5.5425625842204065
kgw-01,128,4.079542458005146
kgw-01,128,3.92540507864431
kgw-01,128,7.201190377787749
kgw-01,128,5.4060979751392235
kgw-01,256,6.546536707079771
kgw-01,256,6.709364822692796
kgw-01,256,7.900773520499256
kgw-01,256,7.5648868615144025
kgw-01,256,5.085744046188986
kgw-01,256,6.136717378547106
kgw-01,256,7.479002866089018
kgw-01,256,4.88448114218581
kgw-01,256,10.265298051494732
kgw-01,256,5.623284923719705
kgw-01,256,8.347030995963435
kgw-01,256,8.652179786259845
kgw-01,256,6.090776713655637
kgw-01,256,4.323460152737352
kgw-01,256,5.470237405063839
kgw-01,256,2.0616921963871517
kgw-01,256,4.576246167494407
kgw-01,256,5.277920773236794
kgw-01,256,6.978853954319669
kgw-01,256,7.080310846831777
kgw-01,256,4.572407123923559
kgw-01,256,6.557126658868952
kgw-01,256,6.67126278349435
kgw-01,256,8.744552712511997
kgw-01,256,3.534876507833167
kgw-01,256,1.6733200530681511
kgw-01,256,8.117777102430551
kgw-01,256,5.008031374761046
kgw-01,256,1.9988475942575323
kgw-01,256,10.143527811495616
kgw-01,256,5.284093748822776
kgw-01,256,5.052467333920879
kgw-01,256,4.28479604230855
kgw-01,256,5.524801086147748
kgw-01,256,4.846789438575374
kgw-01,256,9.689627902499089
kgw-01,256,7.096524201163899
kgw-01,256,6.485742572128155
kgw-01,256,8.38396947294741
kgw-01,256,5.322393150872925
kgw-01,256,7.960234502408414
kgw-01,256,7.073723113428034
kgw-01,256,4.073400617738525
kgw-01,256,6.379256638060369
kgw-01,256,6.15870236931758
kgw-01,256,7.097954098256228
kgw-01,256,4.6098079548679864
kgw-01,256,5.963936834721053
kgw-01,256,7.61769676669425
kgw-01,256,6.309291761714246
kgw-01,512,8.918874092493695
kgw-01,512,11.03627440537834
kgw-01,512,10.97418267504096
kgw-01,512,10.109698738522873
kgw-01,512,9.013177166646766
kgw-01,512,6.399448505650358
kgw-01,512,11.215271415581974
kgw-01,512,9.285526074226388
kgw-01,512,15.1156294839906
kgw-01,512,9.09335306283235
kgw-01,512,13.118744195820053
kgw-01,512,10.404245390591814
kgw-01,512,6.932959978676789
kgw-01,512,3.849741916091625
kgw-01,512,6.442528450810766
kgw-01,512,3.8264127146647686
kgw-01,512,4.576246167494407
kgw-01,512,5.209615784139699
kgw-01,512,8.872596179414622
kgw-01,512,7.080310846831777
kgw-01,512,7.65963337348806
kgw-01,512,11.369098920161187
kgw-01,512,8.856960286199735
kgw-01,512,13.387141922840568
kgw-01,512,6.551396193118527
kgw-01,512,6.3867714592901015
kgw-01,512,9.354953314429288
kgw-01,512,6.13135351573854
kgw-01,512,4.474499752626407
kgw-01,512,14.44494784847086
kgw-01,512,7.9643870243828125
kgw-01,512,7.949196394614874
kgw-01,512,4.28479604230855
kgw-01,512,8.291572555227175
kgw-01,512,6.27936414940572
kgw-01,512,12.675699855793797
kgw-01,512,8.075728530872484
kgw-01,512,8.725037815114819
kgw-01,512,10.999583455614205
kgw-01,512,7.973684789531564
kgw-01,512,9.5703709436991
kgw-01,512,7.048110531835147
kgw-01,512,7.493191638218125
kgw-01,512,10.036902334546323
kgw-01,512,9.947508397109011
kgw-01,512,6.477539542026626
kgw-01,512,6.932993068047015
kgw-01,512,8.113159792791082
kgw-01,512,8.062690667686086
kgw-01,512,8.112086463534661
kgw-02,128,4.633154936028647
kgw-02,128,3.25330601081423
kgw-02,128,4.70437536140385
kgw-02,128,6.764810911375622
kgw-02,128,1.7179113807746667
kgw-02,128,6.145133575982435
kgw-02,128,3.44987526502949
kgw-02,128,4.011185078597973
kgw-02,128,6.145133575982435
kgw-02,128,6.145133575982435
kgw-02,128,7.673442541005147
kgw-02,128,3.459865122611959
kgw-02,128,4.145653226931325
kgw-02,128,2.972602165841174
kgw-02,128,4.905778905196062
kgw-02,128,2.870067618644763
kgw-02,128,3.9252728555211625
kgw-02,128,3.0550504633038935
kgw-02,128,5.112338016993791
kgw-02,128,7.599966688801081
kgw-02,128,2.703690352179376
kgw-02,128,4.145653226931325
kgw-02,128,5.466081666101212
kgw-02,128,6.636490846274722
kgw-02,128,2.8401877872187726
kgw-02,128,5.33162540959103
kgw-02,128,6.351692687780163
kgw-02,128,3.7523938719322816
kgw-02,128,4.406635872898061
kgw-02,128,6.288281455225325
kgw-02,128,5.938574464184706
kgw-02,128,4.492660681600603
kgw-02,128,7.58946638440411
kgw-02,128,4.286208662612396
kgw-02,128,2.903464745245191
kgw-02,128,4.633154936028647
kgw-02,128,5.122542060195303
kgw-02,128,3.940416439975616
kgw-02,128,7.462185372015077
kgw-02,128,2.6768057935155376
kgw-02,128,4.216691570992364
kgw-02,128,5.196152422706632
kgw-02,128,3.872983346207417
kgw-02,128,5.345486852652128
kgw-02,128,6.715471761210061
kgw-02,128,4.492660681600603
kgw-02,128,4.355197117867786
kgw-02,128,3.459865122611959
kgw-02,128,4.492660681600603
kgw-02,128,4.076197322920544
kgw-02,256,5.466988824296173
kgw-02,256,5.863929990299123
kgw-02,256,5.862839018422065
kgw-02,256,9.186028840824182
kgw-02,256,4.185185185185185
kgw-02,256,9.018133547096502
kgw-02,256,4.878860388300181
kgw-02,256,3.6188131180310394
kgw-02,256,7.855844048495726
kgw-02,256,7.810706122033858
kgw-02,256,10.163294038365082
kgw-02,256,4.162691437039262
kgw-02,256,6.330395444652031
kgw-02,256,4.238095238095238
kgw-02,256,6.599120175960898
